得意先コード,封筒,袋,はがき
1,1,1,0
3,1,1,0
4,1,1,0
6,1,1,0
7,1,1,1
8,1,0,0
14,1,0,0
20,1,1,0
22,1,1,0
26,1,1,0
29,1,1,0
35,0,1,0
38,1,1,0
41,1,0,0
49,0,0,0
51,1,0,0
53,1,0,0
65,1,1,0
67,1,1,0
68,1,1,0
70,1,1,1
72,1,1,0
73,1,1,0
74,1,1,0
76,1,1,0
78,1,0,0
80,1,1,0
86,1,1,0
88,0,1,0
93,0,0,0
99,1,1,0
100,1,1,0
102,1,0,0
104,1,1,0
108,1,1,0
110,1,1,0
112,1,1,0
116,1,0,0
124,1,1,0
126,1,1,0
129,0,0,0
130,1,1,0
132,1,1,0
135,1,1,0
138,1,1,0
140,1,1,0
141,1,1,0
144,1,1,0
145,1,1,0
146,1,1,0
150,1,1,0
151,0,0,0
152,1,1,0
160,1,1,0
161,1,1,0
166,0,1,0
171,1,1,0
172,1,1,0
175,1,1,0
177,1,1,0
181,0,0,0
182,1,1,0
184,0,0,0
192,1,1,1
196,1,1,0
198,1,1,1
199,1,0,0
203,0,1,0
204,0,1,0
205,1,0,0
206,1,1,0
210,1,1,0
216,1,0,0
217,1,0,0
221,1,1,0
241,1,1,0
245,1,1,1
249,1,1,0
259,1,0,0
270,1,1,0
271,1,1,0
272,0,0,0
284,1,0,0
291,1,1,0
292,1,1,0
295,1,1,0
299,1,1,0
310,1,1,0
311,0,1,0
312,0,1,0
313,0,0,0
316,0,0,0
320,1,1,0
328,0,1,0
329,1,1,0
330,1,1,0
333,1,1,0
335,1,0,0
337,1,0,0
339,0,1,0
340,1,0,0
374,1,0,0
376,1,0,0
382,1,1,0
391,1,1,0
395,1,1,0
401,0,0,0
402,0,1,0
403,1,1,0
404,1,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,1,0,0
412,1,0,0
415,0,0,0
417,1,0,0
419,1,0,0
420,1,1,0
422,0,0,0
423,1,0,0
427,0,1,0
428,1,1,0
430,1,1,0
431,1,0,0
432,1,1,0
433,1,1,1
434,0,0,0
435,1,0,0
436,1,1,0
437,0,0,0
450,1,1,0
460,1,1,0
462,1,1,0
465,1,1,0
467,1,1,1
469,0,0,0
471,0,0,0
472,1,0,0
476,0,0,0
477,1,1,0
478,1,0,0
479,0,1,0
480,1,0,0
482,1,1,0
484,1,0,0
485,1,0,0
486,1,0,0
487,1,0,0
488,1,1,0
489,1,0,0
490,1,0,0
500,1,1,0
501,1,1,0
504,1,1,0
505,1,1,0
507,1,1,0
508,1,1,0
511,1,1,0
512,1,1,0
514,1,1,0
515,1,1,0
516,1,0,0
525,1,0,0
528,0,0,0
530,1,0,0
549,1,1,0
550,1,1,0
553,1,1,0
554,1,1,0
556,1,1,0
562,1,0,0
564,0,0,0
565,1,0,0
566,1,0,0
567,1,0,0
568,1,0,0
569,1,0,0
570,1,0,0
571,0,0,0
572,1,1,0
573,0,1,0
575,1,0,0
577,1,0,0
578,1,0,0
579,0,1,0
581,1,0,0
582,0,0,0
583,1,0,0
601,1,1,0
603,1,1,0
604,1,1,0
608,1,1,0
613,1,1,0
614,1,1,0
615,1,1,0
627,1,1,0
630,0,0,0
632,1,1,0
641,0,1,0
643,0,0,0
644,1,1,0
646,1,1,0
648,0,0,0
651,1,1,0
652,1,1,0
655,1,1,0
656,1,1,0
658,1,1,0
660,1,1,0
663,1,1,0
664,1,1,0
665,1,1,0
667,1,1,0
669,0,1,0
677,0,0,0
680,1,0,0
681,1,0,0
682,1,1,0
683,0,1,0
684,1,0,0
685,1,1,0
686,0,1,0
688,1,0,0
689,1,1,0
690,1,0,0
691,1,1,0
692,1,0,0
693,1,0,0
694,1,0,0
695,1,0,0
696,1,1,0
697,1,0,0
699,0,1,0
700,1,1,0
702,1,1,0
705,1,0,0
706,1,1,0
714,1,1,0
720,1,1,0
749,1,1,0
751,1,1,0
752,1,1,0
756,1,1,0
758,1,1,0
759,1,1,0
760,1,1,0
791,1,0,0
792,0,1,0
793,0,1,0
795,1,1,0
796,0,0,0
797,0,0,0
799,1,1,0
802,1,1,0
803,1,0,0
806,1,0,0
807,1,0,0
810,1,1,0
816,1,1,0
817,1,0,0
822,1,1,0
823,0,0,0
824,1,1,0
828,1,0,0
829,0,1,0
830,1,0,0
850,1,1,0
853,1,1,0
854,1,1,0
855,1,1,0
856,1,1,0
858,1,1,0
866,1,1,0
867,1,0,0
870,1,1,0
877,1,1,0
878,1,0,0
879,1,1,0
881,1,1,0
882,1,1,0
883,1,1,0
886,0,1,0
887,0,1,0
893,1,1,0
900,1,1,0
903,1,1,0
907,1,1,0
908,1,1,0
913,1,1,0
915,1,1,0
918,1,0,0
923,0,0,0
925,1,1,0
937,0,1,0
946,0,1,0
966,1,1,0
967,1,1,0
972,1,1,0
973,1,1,0
974,0,1,0
975,0,0,0
976,1,1,0
977,0,1,0
978,1,1,0
979,1,0,0
980,1,0,0
981,0,0,1
982,1,1,0
1001,0,0,0
1016,1,0,0
1017,0,1,0
1023,1,0,0
1033,1,1,0
1034,0,1,0
1037,0,1,0
1038,1,0,0
1054,1,1,0
1057,1,0,0
1061,1,1,0
1062,1,0,0
1063,1,0,0
1064,0,0,0
1065,1,0,0
1066,1,0,0
1067,0,1,0
1068,0,0,0
1137,1,0,0
1140,0,0,0
1142,1,1,0
1146,1,1,0
1149,0,1,0
1153,1,1,0
1154,1,1,1
1155,0,0,0
1156,0,1,0
1157,1,0,0
1158,0,1,0
1159,1,1,0
1160,1,1,0
1161,1,1,0
1163,0,1,0
1164,1,1,0
1166,0,0,0
1168,1,0,0
1169,1,1,0
1170,1,0,0
1171,0,1,0
1188,1,1,0
1189,1,1,0
1191,1,1,0
1192,1,1,0
1193,1,1,0
1194,1,1,0
1200,0,1,0
1202,0,1,0
1203,0,0,0
1206,0,1,0
1212,0,0,0
1213,0,0,0
1214,0,0,0
1215,1,1,0
1217,1,0,0
1250,0,1,0
1251,1,1,0
1252,1,1,0
1253,0,1,0
1254,0,1,0
1255,0,0,0
1256,1,1,0
1257,0,1,0
1258,0,1,0
1259,1,0,0
1260,1,0,0
1261,0,1,0
1262,0,0,0
1263,0,0,0
1303,1,0,0
1304,1,0,0
1310,0,1,0
1311,1,0,0
1312,0,1,0
1314,1,0,0
1316,0,0,0
1317,1,1,0
1318,0,0,0
1350,1,1,0
1352,0,1,0
1353,1,1,0
1401,1,1,0
1402,1,0,1
1403,0,0,0
1404,1,1,0
1405,0,0,1
1451,1,1,0
1452,1,0,0
1527,1,1,0
1528,1,1,0
1531,0,0,0
1537,0,0,0
1538,1,1,0
1544,1,1,0
1545,1,0,0
1546,1,0,0
1547,1,0,0
1548,1,0,0
1549,1,1,0
1550,1,1,0
1551,1,0,0
1552,0,1,0
1556,1,1,0
1557,1,1,0
1559,1,0,0
1560,1,1,0
1562,0,1,0
1563,0,1,0
1564,1,1,0
1565,1,0,0
1566,1,1,0
1567,0,1,0
1568,1,0,0
1569,1,1,0
1570,0,1,0
1571,1,0,0
1572,1,1,0
1573,1,0,1
1574,1,1,0
1575,1,0,0
1576,1,1,0
1577,0,1,0
1602,0,0,0
1605,1,0,1
1606,0,1,0
1608,0,1,0
1633,0,0,0
1651,0,1,0
1652,0,0,0
1700,1,0,0
1703,0,0,0
1704,1,1,0
1705,1,0,0
1706,0,1,0
1707,1,0,0
1708,0,0,0
1807,1,0,0
1808,0,1,0
1818,1,0,0
1819,1,0,0
1820,0,0,0
1821,1,0,0
1822,0,0,0
1823,0,0,0
1824,1,0,0
1825,0,1,0
1826,1,1,0
1827,1,1,0
1829,0,0,0
1918,1,1,0
1921,0,0,0
1922,1,1,0
1924,1,0,0
1926,1,0,0
1927,1,1,0
1957,1,0,0
1959,1,1,0
1960,0,1,0
1963,0,1,0
1964,0,0,0
2011,1,0,0
2019,1,1,0
2020,1,0,0
2022,0,0,0
2023,0,1,0
2024,1,1,0
2025,1,1,0
2026,1,1,0
2027,0,0,0
2047,0,1,0
2048,0,0,0
2052,1,1,1
2116,0,1,0
2117,0,1,0
2122,1,1,0
2124,1,1,0
2125,0,0,0
2126,1,1,0
2127,0,0,0
2128,0,1,0
2129,1,0,0
2130,1,0,0
2131,1,1,0
2132,0,0,0
2134,1,0,0
2137,1,0,0
2138,0,0,1
2139,1,0,0
2140,0,0,0
2150,0,0,0
2201,1,1,0
2202,0,1,0
2250,1,1,0
2251,1,0,0
2252,1,0,0
2304,1,0,0
2305,1,0,0
2404,1,0,0
2405,1,0,0
2512,0,0,0
2526,1,0,1
2529,0,0,0
2530,1,1,0
2531,1,1,0
2532,1,1,0
2535,1,1,0
2536,1,1,0
2537,1,0,0
2538,1,0,0
2539,0,0,0
2540,1,0,0
2541,0,1,0
2542,0,0,0
2543,0,1,0
2544,0,0,0
2545,1,0,0
2546,1,0,0
2550,1,1,0
2552,1,1,0
2555,1,0,0
2611,1,1,0
2615,0,1,0
2620,0,0,0
2651,0,1,0
2653,1,1,0
2654,1,0,0
2655,0,0,0
2656,0,1,0
2657,1,1,0
2658,1,1,0
2659,1,1,0
2660,0,0,0
2661,1,0,0
2662,1,0,0
2663,0,0,0
2670,0,1,0
