得意先コード,封筒,洋封筒,和封筒(長),和封筒(角)
1,1,1,1,1
3,1,0,1,1
4,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,0,0,1
14,1,0,0,1
20,1,0,1,1
22,1,0,1,1
26,1,0,1,1
29,1,1,1,1
35,0,0,0,0
38,1,1,1,1
41,1,0,0,0
49,0,0,0,1
51,1,0,0,0
53,1,0,1,0
65,1,1,1,1
67,1,0,1,1
68,1,1,0,1
70,1,1,1,1
72,1,0,1,1
73,1,1,1,1
74,1,1,1,1
76,1,0,0,0
78,1,0,1,1
80,1,1,1,1
86,1,0,1,1
88,0,0,0,1
93,0,0,0,1
99,1,1,1,1
100,1,1,1,1
102,1,0,0,0
104,1,1,1,1
108,1,0,1,1
110,1,0,0,1
112,1,0,0,0
116,1,0,0,0
124,1,0,1,1
126,1,0,1,1
129,0,0,0,1
130,1,0,1,1
132,1,1,1,1
135,1,1,1,1
138,1,0,1,1
140,1,1,1,1
141,1,1,1,1
144,1,1,1,1
145,1,1,1,1
146,1,0,1,1
150,1,1,0,1
151,0,0,0,1
152,1,1,1,1
160,1,0,1,1
161,1,0,1,1
166,0,0,0,1
171,1,1,1,1
172,1,0,1,1
175,1,0,1,1
177,1,1,1,1
181,0,0,0,1
182,1,0,1,1
184,0,0,0,0
192,1,0,1,1
196,1,1,1,1
198,1,0,1,1
199,1,0,1,1
203,0,0,0,0
204,0,0,0,1
205,1,1,0,0
206,1,0,1,1
210,1,0,1,1
216,1,0,0,0
217,1,0,1,0
221,1,0,1,1
241,1,1,1,1
245,1,1,1,1
249,1,1,1,1
259,1,0,1,1
270,1,0,1,1
271,1,0,1,1
272,0,0,0,1
284,1,0,0,1
291,1,1,1,1
292,1,1,1,1
295,1,0,1,1
299,1,1,1,1
310,1,0,1,1
311,0,0,0,1
312,0,0,0,0
313,0,0,0,1
316,0,0,0,1
320,1,0,1,1
328,0,0,0,0
329,1,1,1,1
330,1,1,1,1
333,1,0,0,0
335,1,0,0,0
337,1,0,0,0
339,0,0,0,0
340,1,0,0,0
374,1,0,1,1
376,1,0,1,1
382,1,0,1,1
391,1,1,1,1
395,1,1,1,1
401,0,0,0,0
402,0,0,0,0
403,1,0,0,0
404,1,0,1,0
406,0,0,0,1
407,0,0,0,1
408,0,0,0,1
409,1,0,0,1
412,1,0,1,1
415,0,0,0,1
417,1,0,0,1
419,1,0,0,1
420,1,0,0,1
422,0,0,0,1
423,1,0,0,0
427,0,0,0,1
428,1,1,1,1
430,1,0,1,1
431,1,0,0,0
432,1,0,1,0
433,1,1,0,1
434,0,0,0,1
435,1,0,0,0
436,1,0,1,1
437,0,0,0,1
450,1,1,1,1
460,1,0,1,1
462,1,0,1,1
465,1,1,0,1
467,1,0,1,1
469,0,0,0,1
471,0,0,0,1
472,1,1,0,0
476,0,0,0,1
477,1,0,0,0
478,1,0,0,0
479,0,0,0,1
480,1,1,0,0
482,1,0,1,1
484,1,0,1,0
485,1,0,1,0
486,1,0,1,0
487,1,1,1,0
488,1,1,1,1
489,1,0,0,0
490,1,0,1,1
500,1,1,1,1
501,1,0,1,1
504,1,1,1,1
505,1,0,1,1
507,1,0,0,1
508,1,1,1,1
511,1,0,1,1
512,1,0,1,1
514,1,1,1,1
515,1,0,1,0
516,1,0,0,1
525,1,0,1,1
528,0,0,0,1
530,1,0,1,1
549,1,1,0,0
550,1,1,1,1
553,1,1,1,1
554,1,1,1,1
556,1,1,1,1
562,1,0,0,0
564,0,0,0,1
565,1,0,1,0
566,1,0,0,0
567,1,1,0,1
568,1,0,1,0
569,1,1,0,1
570,1,0,1,1
571,0,0,0,1
572,1,0,1,0
573,0,0,0,0
575,1,0,1,0
577,1,0,1,0
578,1,0,1,0
579,0,0,0,1
581,1,0,0,0
582,0,0,0,1
583,1,0,0,0
601,1,1,1,1
603,1,0,1,0
604,1,0,0,1
608,1,1,1,1
613,1,0,0,1
614,1,1,1,1
615,1,1,1,1
627,1,0,0,1
630,0,0,0,1
632,1,0,1,0
641,0,0,0,1
643,0,0,0,1
644,1,1,1,1
646,1,0,0,1
648,0,0,0,1
651,1,1,1,1
652,1,0,1,1
655,1,1,1,1
656,1,1,1,1
658,1,1,1,1
660,1,0,0,0
663,1,1,1,1
664,1,0,0,0
665,1,0,1,0
667,1,0,0,1
669,0,0,0,1
677,0,0,0,1
680,1,0,0,0
681,1,0,0,0
682,1,1,1,1
683,0,0,0,1
684,1,0,1,0
685,1,1,1,1
686,0,0,0,0
688,1,0,1,0
689,1,0,0,0
690,1,0,1,0
691,1,0,1,1
692,1,0,0,0
693,1,0,1,0
694,1,0,1,0
695,1,1,0,0
696,1,1,0,1
697,1,0,0,1
699,0,0,0,1
700,1,0,0,0
702,1,0,0,0
705,1,0,0,0
706,1,1,1,1
714,1,0,0,1
720,1,1,1,1
749,1,1,1,1
751,1,1,1,1
752,1,1,1,1
756,1,0,1,1
758,1,0,1,1
759,1,1,1,1
760,1,1,1,1
791,1,0,0,0
792,0,0,1,1
793,0,0,0,1
795,1,0,1,1
796,0,0,0,1
797,0,0,0,1
799,1,0,0,0
802,1,1,1,1
803,1,0,0,0
806,1,1,0,1
807,1,1,0,0
810,1,1,1,1
816,1,1,1,1
817,1,0,0,0
822,1,1,1,1
823,0,0,0,1
824,1,1,1,1
828,1,0,1,1
829,0,0,0,1
830,1,0,1,0
850,1,1,1,1
853,1,1,0,0
854,1,1,1,1
855,1,1,1,1
856,1,1,1,1
858,1,0,1,1
866,1,1,1,1
867,1,0,1,1
870,1,0,0,1
877,1,1,1,1
878,1,0,0,1
879,1,0,1,0
881,1,0,1,0
882,1,1,1,1
883,1,1,1,1
886,0,0,0,0
887,0,0,0,0
893,1,1,0,1
900,1,0,0,1
903,1,1,1,1
907,1,0,1,0
908,1,0,1,1
913,1,1,1,1
915,1,0,1,1
918,1,1,1,1
923,0,0,0,1
925,1,0,1,1
937,0,0,0,1
946,0,0,0,0
966,1,1,1,1
967,1,0,1,1
972,1,0,1,1
973,1,1,1,1
974,0,0,0,1
975,0,0,0,1
976,1,0,0,0
977,0,0,1,0
978,1,0,1,0
979,1,0,0,1
980,1,0,0,1
981,0,0,0,0
982,1,0,0,0
1001,0,0,0,1
1016,1,0,1,1
