得意先コード,封筒_オーダーメイド回数,封筒_既製品回数,洋封筒_オーダーメイド,洋封筒アラビア_オーダーメイド,洋封筒_既製品,和封筒(長)_オーダーメイド,和封筒(長)_既製品,和封筒(角)_オーダーメイド,和封筒(角)_既製品,袋_オーダーメイド,角底_オーダーメイド,角底_既製品,手提げ袋_オーダーメイド,保存袋_オーダーメイド,はがき_既製品,かます,洋0,洋2,洋長3,洋4,洋5,角0,角1,角２,角3,角4,角5,角6,角7,角8,角20,角A3,角A4,長1,長2,長3,長4,長6,長40,ガゼット,チケット,角底,手貼り袋,紐付き袋,角底二枚貼り,テープ付き,S貼,C貼
1,9804,13,2079,1956,3,0,825,8,2428,0,4,0,118,0,0,1567,6,31,1891,3,0,50,41,823,316,169,20,532,58,0,0,0,8,0,0,0,42,0,0,0,8,3,0,0,0,0,56,8
3,121,68,0,0,0,68,0,0,21,0,382,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4,385,10,0,0,1,0,25,10,73,0,0,0,4,0,0,227,1,0,0,0,0,0,1,60,4,0,5,6,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
6,234,4,2,2,0,4,100,0,17,0,1,0,1,0,0,115,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0
7,345,1,78,78,11,1,15,0,115,0,22,0,50,1,0,94,0,2,60,0,0,0,6,98,6,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,29,9,6,0,0,0,0,0
8,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,16,4,0,0,0
20,115,3,0,0,0,1,11,2,17,1,18,1,42,0,0,56,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,12,1,0,0,0
22,296,15,0,0,0,1,4,14,50,0,36,0,6,0,0,76,0,0,0,0,0,0,0,49,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,36,34,35,0,0,0,0
26,7,0,0,0,0,0,2,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
29,45,0,15,14,0,0,1,0,14,0,5,0,8,0,0,3,0,0,15,0,0,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,70,0,1,1,0,0,3,0,13,0,6,0,86,0,0,24,0,1,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
