得意先コード,封筒_オーダーメイド回数,封筒_既製品回数,洋封筒_オーダーメイド,洋封筒_既製品,和封筒(長)_オーダーメイド,和封筒(長)_既製品,和封筒(角)_オーダーメイド,和封筒(角)_既製品,かます,洋0,洋2,洋長3,洋4,洋5,角0,角1,角２,角3,角4,角5,角6,角7,角8,角20,角A3,角A4,長1,長2,長3,長4,長6,長40,ガゼット,チケット,S貼,C貼,逆S
1,0.5229078884207158,0.0006933703130833645,0.0019201024054616247,0.0,0.0,0.0440023467918289,0.0004266894234359166,0.1295002400128007,0.08357779081551016,0.00032001706757693745,0.0016534215158141767,0.10085871246466478,0.00016000853378846872,0.0,0.0026668088964744785,0.0021867832951090725,0.043895674435969916,0.016854232225718704,0.009013814070083738,0.0010667235585897915,0.028374846658488453,0.003093498319910395,0.0,0.0,0.0,0.0004266894234359166,0.0,0.0,0.0,0.002240119473038562,0.0,0.0,0.0,0.0004266894234359166,0.002986825964051416,0.0004266894234359166,0.00032001706757693745
3,0.4306049822064057,0.24199288256227758,0.0,0.0,0.24199288256227758,0.0,0.0,0.07473309608540925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071174377224199285,0.0,0.0,0.0
4,0.47181372549019607,0.012254901960784314,0.0,0.0,0.0,0.030637254901960783,0.012254901960784314,0.08946078431372549,0.27818627450980393,0.0012254901960784314,0.0,0.0,0.0,0.0,0.0,0.0012254901960784314,0.07352941176470588,0.004901960784313725,0.0,0.006127450980392157,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006127450980392157,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0
6,0.4708249496981891,0.008048289738430584,0.0,0.0,0.008048289738430584,0.2012072434607646,0.0,0.03420523138832998,0.23138832997987926,0.0,0.0,0.004024144869215292,0.0,0.0,0.0,0.0,0.03420523138832998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008048289738430584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4394904458598726,0.0012738853503184713,0.0,0.0,0.0012738853503184713,0.01910828025477707,0.0,0.1464968152866242,0.1197452229299363,0.0,0.0025477707006369425,0.07643312101910828,0.0,0.0,0.0,0.007643312101910828,0.12484076433121019,0.007643312101910828,0.0,0.0,0.015286624203821656,0.0,0.0,0.0,0.0,0.0012738853503184713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03694267515923567,0.0,0.0,0.0
8,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5133928571428571,0.013392857142857142,0.0,0.0,0.004464285714285714,0.049107142857142856,0.008928571428571428,0.07589285714285714,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08482142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.5692307692307692,0.028846153846153848,0.0,0.0,0.0019230769230769232,0.007692307692307693,0.026923076923076925,0.09615384615384616,0.14615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09423076923076923,0.0,0.0,0.0,0.0,0.0019230769230769232,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3333333333333333,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
29,0.46875,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.14583333333333334,0.03125,0.0,0.0,0.15625,0.0,0.0,0.020833333333333332,0.0,0.09375,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.5384615384615384,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.1,0.18461538461538463,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.0,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.6666666666666666,0.0,0.0,0.0,0.0,0.11753371868978806,0.0,0.05394990366088632,0.05009633911368015,0.0,0.0,0.04238921001926782,0.0,0.0,0.0,0.0019267822736030828,0.036608863198458574,0.009633911368015413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038535645472061657,0.0,0.0,0.0038535645472061657,0.009633911368015413,0.0019267822736030828,0.0019267822736030828,0.0
67,0.46153846153846156,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.42935420743639924,0.13038859379368187,0.0,0.0026838132513279283,0.06575342465753424,0.027509085826111265,0.061448140900195694,0.027564998602180597,0.1480011182555214,0.0,0.0,0.00022365110427732736,0.0011741682974559687,0.00011182555213866368,0.003242941012021247,0.0036902432205759015,0.04579256360078278,0.007715963097567794,0.0022924238188426057,0.002851551579535924,0.005199888174447861,0.0021805982667039417,0.0035225048923679062,0.0,0.0,0.00011182555213866368,0.00033547665641599103,0.0005032149846239866,0.0,0.013530891808778306,5.591277606933184e-05,0.010232038020687726,0.0003913894324853229,0.002516074923119933,0.0006150405367626502,0.00044730220855465473,0.0005591277606933184
72,0.3132530120481928,0.2289156626506024,0.0,0.0,0.12048192771084337,0.0,0.10843373493975904,0.012048192771084338,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.07228915662650602,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.012048192771084338,0.0,0.060240963855421686,0.0,0.0,0.0
73,0.5286666666666666,0.09533333333333334,0.0,0.012666666666666666,0.058666666666666666,0.026,0.022,0.03133333333333333,0.156,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0026666666666666666,0.0026666666666666666,0.04466666666666667,0.0033333333333333335,0.0,0.0006666666666666666,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.004,0.0006666666666666666,0.0,0.0013333333333333333,0.0033333333333333335,0.0006666666666666666,0.0,0.0
74,0.3945239889475006,0.18462697814619441,0.0,0.010851544837980407,0.10741019844260236,0.004822908816880181,0.0659633257975383,0.013916101482039688,0.13971363978899773,0.0,0.0,0.0005023863350916855,0.0001004772670183371,5.023863350916855e-05,0.0016076362722933935,0.0017081135393117307,0.04124591811102738,0.0038683747802059783,0.0024114544084400903,0.0010550113036925397,0.0031650339110776186,0.001004772670183371,0.0018588294398392364,0.0,0.0001004772670183371,0.00025119316754584274,0.00025119316754584274,0.0005526249686008541,0.0,0.006882692790756092,0.0,0.003265511178095956,0.00035167043456417983,0.007686510926902789,0.0001004772670183371,0.00015071590052750564,0.0
76,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
78,0.21428571428571427,0.2857142857142857,0.0,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.7888563049853372,0.0,0.0,0.0,0.0,0.13196480938416422,0.0,0.026392961876832845,0.005865102639296188,0.0,0.0,0.01466275659824047,0.002932551319648094,0.0,0.008797653958944282,0.0,0.020527859237536656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
