得意先コード,角封筒_オーダーメイド,角封筒_既製品,角封筒(アドヘア)_オーダーメイド,角封筒(アドヘア)_既製品,角封筒(テープ付)_オーダーメイド,角封筒(テープ付)_既製品,角封筒(ホットメルト)_オーダーメイド,角封筒(ホットメルト)_既製品,角窓明封筒_オーダーメイド,角窓明封筒_既製品,角窓明封筒(アドヘア)_オーダーメイド,角窓明封筒(テープ付)_オーダーメイド,角窓明封筒(ホットメルト)_オーダーメイド,長封筒_オーダーメイド,長封筒_既製品,長封筒(アドヘア)_オーダーメイド,長封筒(テープ付)_オーダーメイド,長封筒(テープ付)_既製品,長封筒(ホットメルト)_オーダーメイド,長封筒(ホットメルト)_既製品,長窓明封筒_オーダーメイド,長窓明封筒_既製品,長窓明封筒(アドヘア)_オーダーメイド,長窓明封筒(テープ付)_オーダーメイド,長窓明封筒(ホットメルト)_オーダーメイド,洋封筒(テープ付)_既製品,洋封筒(ホットメルト)_既製品,封筒_オーダーメイド,封筒(アドヘア)_オーダーメイド,封筒(アドヘア)_既製品,封筒(テープ付)_オーダーメイド,封筒(ホットメルト)_オーダーメイド,開封封筒_オーダーメイド,甘栗封筒_オーダーメイド,レントゲン封筒_オーダーメイド,窓明封筒_オーダーメイド,窓明封筒_既製品,窓明(アドヘア)封筒_オーダーメイド,窓明(アドヘア)封筒_既製品,窓明封筒(テープ付)_オーダーメイド,窓明封筒(ホットメルト)_オーダーメイド,手貼り_オーダーメイド,ダイヤモンド貼_オーダーメイド,ダイヤモンド貼_既製品,ダイヤモンド貼(アラビア)_オーダーメイド,内叺_オーダーメイド,内叺(アドヘア)_オーダーメイド,内叺(テープ付)_オーダーメイド,内叺(ホットメルト)_オーダーメイド,内叺(アラビア)_オーダーメイド,内叺窓明_オーダーメイド,内叺窓明(アドヘア)_オーダーメイド,内叺窓明(アドヘア)_既製品,内叺窓明(テープ付)_オーダーメイド,内叺窓明(テープ付)_既製品,内叺窓明(ホットメルト)_オーダーメイド,内叺窓明(ホットメルト)_既製品,内叺窓明(アラビア)_オーダーメイド,内叺窓明(アラビア)_既製品,大内叺_オーダーメイド,大内叺(アドヘア)_オーダーメイド,大内叺(アラビア)_オーダーメイド,大内叺窓明_オーダーメイド,大内叺窓明(アドヘア)_オーダーメイド,大内叺窓明(アラビア)_オーダーメイド,ガゼット_オーダーメイド,S貼,C貼,逆S
1,2.5550944485783194,0.0,1.8325089127062364,0.47712125471966244,1.4471580313422192,0.0,0.0,0.0,1.5185139398778875,0.3010299956639812,1.8325089127062364,1.4471580313422192,0.0,2.0043213737826426,0.0,0.6020599913279624,1.2041199826559248,0.0,0.0,0.0,0.6989700043360189,0.0,1.1139433523068367,1.2041199826559248,0.0,0.0,0.0,2.2041199826559246,1.7160033436347992,0.0,1.255272505103306,0.6989700043360189,0.0,0.0,0.0,2.123851640967086,0.0,1.6720978579357175,0.0,1.3424226808222062,0.3010299956639812,0.0,1.6232492903979006,0.0,0.47712125471966244,2.89707700320942,2.0293837776852097,1.5440680443502757,1.6989700043360187,1.6720978579357175,2.3010299956639813,1.7323937598229686,0.3010299956639812,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,2.5854607295085006,1.8976270912904414,0.3010299956639812,1.8976270912904414,1.414973347970818,0.0,0.0,2.952792443044092,1.6127838567197355,2.1789769472931693
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,0.0
4,1.0413926851582251,0.0,1.3010299956639813,1.0,0.0,0.3010299956639812,0.0,0.0,0.6020599913279624,0.0,1.3010299956639813,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2787536009528289,1.1139433523068367,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,1.2041199826559248,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6901960800285136,0.0,0.3010299956639812,1.0413926851582251,1.4913616938342726,1.7558748556724915,0.3010299956639812,0.0,0.6020599913279624,0.0,0.0,0.0,1.6901960800285136,0.0,1.414973347970818,1.0791812460476249,0.6020599913279624,0.9542425094393249,0.0,0.9542425094393249,0.0,1.8260748027008264,0.6989700043360189,1.462397997898956
6,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0413926851582251,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146128035678238,0.0,0.0
7,1.4913616938342726,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.6020599913279624,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7160033436347992,0.3010299956639812,0.47712125471966244,1.146128035678238,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0,1.6232492903979006,0.0,1.146128035678238
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.3010299956639812,0.0
22,0.6020599913279624,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.3010299956639812,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1139433523068367,0.0,0.47712125471966244,0.0,0.7781512503836436,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.9542425094393249,0.9030899869919435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9030899869919435,1.2787536009528289,0.7781512503836436
26,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.6020599913279624
38,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0
65,0.9030899869919435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542425094393249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0791812460476249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.8450980400142568,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,1.4913616938342726,1.0413926851582251,0.0,0.0,0.0,0.47712125471966244,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,1.3617278360175928,0.47712125471966244
